system   D            wsystem.c:583  maybe_parent_dir                 [   0.00056] Also searching C:\Users\Max Giller\Documents\Visual Studio 2013\Projects\GameLogicTest\
display  D   display_settings.c:506  _al_score_display_settings       [   0.09769] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09771] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09772] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09773] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09775] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09776] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09778] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09779] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09781] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09782] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09784] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09785] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09787] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09788] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09791] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09794] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09795] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09797] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09798] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09800] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09801] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09803] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09806] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09807] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09809] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09810] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09812] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09813] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09815] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09816] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09817] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09819] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09820] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09822] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09823] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09825] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09826] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09827] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09829] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09830] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09832] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09833] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09835] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09836] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09838] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09839] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09841] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09842] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09844] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09845] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09847] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09848] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09850] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09851] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09853] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09854] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09856] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09857] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09859] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09860] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09862] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09863] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09865] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09866] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09867] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09869] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09870] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09872] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09875] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09876] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09877] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09880] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09882] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09883] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09885] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09886] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09888] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09889] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09891] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09892] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09894] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09895] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09897] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09898] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09901] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09903] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09904] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09905] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09907] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09908] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09910] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09913] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09916] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09917] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09918] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09920] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09921] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09924] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09926] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09927] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09932] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09933] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09935] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09936] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09938] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09939] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09941] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09942] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09944] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09945] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09946] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09948] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09951] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09953] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09954] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09955] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09957] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09958] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09960] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09961] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09963] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09964] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09966] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09967] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09969] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09972] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09973] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09975] Single Buffer requirement not met.
